filename,WMC,DIT,NOC,CBO, RFC,LCOM,CE,NPM,bug
apache.lucene.LucenePackage,3,1,0,0,8,3,0,1,0.0
apache.lucene.analysis.LowerCaseFilter,2,0,0,3,5,1,0,2,0.0
apache.lucene.analysis.PerFieldAnalyzerWrapper,4,0,0,2,13,0,0,4,1.0
apache.lucene.analysis.StopFilter,7,0,0,3,13,15,1,7,0.0
apache.lucene.analysis.Tokenizer,3,0,2,1,5,1,2,1,0.0
apache.lucene.analysis.TokenStream,3,1,2,1,4,3,13,3,1.0
apache.lucene.analysis.LetterTokenizer,2,0,1,1,4,1,1,1,0.0
apache.lucene.analysis.LowerCaseTokenizer,2,0,0,1,4,1,2,1,0.0
apache.lucene.analysis.Analyzer,3,1,5,1,4,3,5,3,0.0
apache.lucene.analysis.KeywordTokenizer,3,0,0,2,10,1,1,3,0.0
apache.lucene.analysis.StopAnalyzer,7,0,0,5,13,0,0,6,0.0
apache.lucene.analysis.SimpleAnalyzer,2,0,0,3,4,1,0,2,0.0
apache.lucene.analysis.WhitespaceAnalyzer,2,0,0,3,4,1,0,2,0.0
apache.lucene.analysis.Token,9,1,0,0,16,0,8,9,0.0
apache.lucene.analysis.PorterStemmer,27,1,0,0,43,13,1,13,0.0
apache.lucene.analysis.KeywordAnalyzer,2,0,0,3,4,1,0,2,0.0
apache.lucene.analysis.WordlistLoader,4,1,0,0,18,6,1,3,0.0
apache.lucene.analysis.LengthFilter,2,0,0,3,6,0,0,2,0.0
apache.lucene.analysis.TokenFilter,2,0,5,1,4,0,5,1,0.0
apache.lucene.analysis.PorterStemFilter,2,0,0,4,6,0,0,2,0.0
apache.lucene.analysis.WhitespaceTokenizer,2,0,0,1,4,1,1,1,0.0
apache.lucene.analysis.CharTokenizer,4,0,2,2,8,4,2,2,0.0
apache.lucene.analysis.ISOLatin1AccentFilter,3,0,0,3,16,3,0,3,1.0
apache.lucene.document.Document,14,1,0,1,35,0,0,14,1.0
apache.lucene.document.DateField,8,1,0,0,25,22,0,6,0.0
apache.lucene.document.DateTools,8,1,0,1,29,16,0,6,0.0
apache.lucene.document.Field,23,1,0,3,34,93,1,22,1.0
apache.lucene.document.NumberTools,4,1,0,0,18,0,0,3,0.0
apache.lucene.index.MultiReader,26,0,0,14,56,0,0,17,9.0
apache.lucene.index.ParallelReader,27,0,0,13,80,193,0,21,6.0
apache.lucene.index.MultiTermEnum,5,0,0,5,20,0,1,5,0.0
apache.lucene.index.SegmentTermVector,8,1,1,1,15,0,2,7,0.0
apache.lucene.index.TermEnum,6,1,2,1,8,15,13,6,0.0
apache.lucene.index.TermFreqVector,6,1,0,0,6,15,10,6,0.0
apache.lucene.index.IndexFileNameFilter,2,1,0,1,9,1,0,2,0.0
apache.lucene.index.MultipleTermPositions,10,1,0,7,33,25,0,10,2.0
apache.lucene.index.Term,12,1,0,0,21,0,21,9,1.0
apache.lucene.index.TermInfosReader,16,1,0,6,34,62,2,3,4.0
apache.lucene.index.FilterIndexReader,24,0,0,9,49,0,0,19,4.0
apache.lucene.index.TermBuffer,11,1,0,3,25,0,1,6,0.0
apache.lucene.index.FieldInfos,19,1,0,6,51,145,12,15,1.0
apache.lucene.index.CompoundFileWriter,6,1,0,5,39,0,1,5,1.0
apache.lucene.index.SegmentTermPositionVector,4,0,0,3,5,0,1,3,1.0
apache.lucene.index.SegmentInfo,1,1,0,1,2,0,3,1,6.0
apache.lucene.index.SegmentTermDocs,12,1,1,10,23,16,2,8,2.0
apache.lucene.index.TermVectorsReader,9,1,0,7,36,8,1,0,2.0
apache.lucene.index.SegmentInfos,6,4,0,4,30,3,4,5,7.0
apache.lucene.index.FieldsReader,5,1,0,9,36,2,1,0,9.0
apache.lucene.index.IndexModifier,26,1,0,7,55,0,0,22,2.0
apache.lucene.index.IndexWriter,48,1,0,20,119,742,3,32,22.0
apache.lucene.index.TermVectorOffsetInfo,9,1,0,0,10,2,6,8,0.0
apache.lucene.index.CompoundFileReader,14,0,0,7,38,43,2,14,1.0
apache.lucene.index.TermVectorsWriter,15,1,0,11,54,41,2,10,0.0
apache.lucene.index.SegmentMergeInfo,5,1,0,4,14,0,3,0,0.0
apache.lucene.index.IndexReader,57,1,4,16,108,1504,12,43,11.0
apache.lucene.index.FieldsWriter,4,1,0,5,38,0,2,0,2.0
apache.lucene.index.TermInfosWriter,6,1,0,6,29,0,2,0,2.0
apache.lucene.index.DocumentWriter,10,1,0,18,87,0,1,0,6.0
apache.lucene.index.TermDocs,8,1,0,2,8,28,9,8,0.0
apache.lucene.index.TermPositionVector,2,1,0,2,2,1,2,2,0.0
apache.lucene.index.SegmentMergeQueue,3,0,0,3,9,3,2,0,0.0
apache.lucene.index.Posting,1,1,0,2,2,0,1,0,0.0
apache.lucene.index.TermInfo,5,1,0,0,6,0,8,0,0.0
apache.lucene.index.SegmentReader,40,0,0,26,123,576,4,19,11.0
apache.lucene.index.MultiTermDocs,11,1,1,4,20,15,2,9,0.0
apache.lucene.index.SegmentTermPositions,8,0,0,5,17,0,1,4,4.0
apache.lucene.index.SegmentTermEnum,13,0,0,6,38,0,3,4,2.0
apache.lucene.index.MultiTermPositions,3,0,0,4,6,3,1,2,0.0
apache.lucene.index.SegmentMerger,18,1,0,21,93,0,1,0,8.0
apache.lucene.index.TermPositions,1,1,0,1,1,0,10,1,3.0
apache.lucene.index.IndexFileNames,2,1,0,0,3,1,3,0,2.0
apache.lucene.index.FieldInfo,1,1,0,0,2,0,6,0,1.0
apache.lucene.queryParser.MultiFieldQueryParser,10,0,0,9,27,15,0,4,1.0
apache.lucene.queryParser.TokenMgrError,6,3,0,0,19,15,2,4,0.0
apache.lucene.queryParser.ParseException,5,3,0,1,18,0,2,4,0.0
apache.lucene.queryParser.FastCharStream,14,1,0,1,25,3,1,13,0.0
apache.lucene.queryParser.QueryParser,52,1,1,29,129,888,1,32,7.0
apache.lucene.queryParser.QueryParserTokenManager,36,1,0,4,52,282,1,7,4.0
apache.lucene.queryParser.Token,3,1,0,0,4,3,3,3,0.0
apache.lucene.queryParser.QueryParserConstants,1,1,0,0,1,0,2,0,1.0
apache.lucene.queryParser.CharStream,10,1,0,0,10,45,3,10,0.0
apache.lucene.search.Query,13,1,12,7,39,72,25,12,0.0
apache.lucene.search.ScoreDoc,1,1,1,0,2,0,12,1,0.0
apache.lucene.search.BooleanScorer,11,0,0,7,28,15,0,7,1.0
apache.lucene.search.PhraseQuery,15,0,0,7,43,0,0,11,0.0
apache.lucene.search.SortComparator,3,1,0,5,7,3,2,2,0.0
apache.lucene.search.FieldDoc,2,0,0,1,3,1,3,2,0.0
apache.lucene.search.HitCollector,2,1,1,0,3,1,13,2,0.0
apache.lucene.search.QueryFilter,5,0,0,6,20,0,0,5,2.0
apache.lucene.search.Hits,11,1,0,11,28,19,3,5,1.0
apache.lucene.search.SortField,15,1,0,1,22,0,8,14,0.0
apache.lucene.search.FuzzyQuery,10,0,0,12,42,7,0,9,1.0
apache.lucene.search.MatchAllDocsQuery,6,0,0,5,14,15,0,5,1.0
apache.lucene.search.Searchable,10,1,0,10,10,45,6,10,2.0
apache.lucene.search.SimilarityDelegator,7,0,0,1,14,0,0,7,0.0
apache.lucene.search.WildcardQuery,3,0,0,5,7,3,0,2,1.0
apache.lucene.search.ConjunctionScorer,12,0,0,4,33,0,1,6,1.0
apache.lucene.search.RangeFilter,7,0,0,5,30,1,1,7,0.0
apache.lucene.search.RangeQuery,9,0,0,8,32,0,0,9,0.0
apache.lucene.search.ScoreDocComparator,4,1,0,3,6,6,3,3,0.0
apache.lucene.search.DisjunctionMaxScorer,11,0,0,3,25,0,0,7,2.0
apache.lucene.search.ConstantScoreQuery,7,0,0,6,18,9,1,6,1.0
apache.lucene.search.MultiPhraseQuery,17,0,0,10,55,12,0,13,1.0
apache.lucene.search.ExactPhraseScorer,2,0,0,6,8,1,0,0,1.0
apache.lucene.search.FieldSortedHitQueue,16,0,0,14,55,98,1,4,2.0
apache.lucene.search.Searcher,23,1,2,13,28,247,13,22,1.0
apache.lucene.search.TopDocs,3,1,1,1,4,0,12,2,0.0
apache.lucene.search.FieldCache,9,1,0,6,10,36,3,8,0.0
apache.lucene.search.FieldDocSortedHitQueue,5,0,0,3,21,0,3,0,0.0
apache.lucene.search.BooleanClause,10,1,0,2,18,0,2,10,1.0
apache.lucene.search.FuzzyTermEnum,14,0,0,4,29,53,1,6,0.0
apache.lucene.search.SloppyPhraseScorer,2,0,0,6,11,0,0,0,1.0
apache.lucene.search.PhraseQueue,2,0,0,2,4,1,3,0,1.0
apache.lucene.search.TopFieldDocCollector,3,0,0,10,13,1,1,3,0.0
apache.lucene.search.HitQueue,2,0,0,2,4,1,4,0,0.0
apache.lucene.search.ReqExclScorer,7,0,0,3,16,0,1,6,0.0
apache.lucene.search.RemoteSearchable_Stub,13,3,0,11,23,58,0,11,0.0
apache.lucene.search.FilteredTermEnum,9,0,2,2,14,8,5,6,0.0
apache.lucene.search.MultiTermQuery,7,0,2,8,27,1,2,6,0.0
apache.lucene.search.BooleanScorer2,20,0,0,14,52,86,0,9,4.0
apache.lucene.search.TermScorer,9,0,0,9,32,0,0,7,0.0
apache.lucene.search.DisjunctionSumScorer,10,0,0,4,34,1,1,8,1.0
apache.lucene.search.DefaultSimilarity,7,0,0,1,10,21,2,7,0.0
apache.lucene.search.PhraseScorer,13,0,2,7,34,0,2,6,1.0
apache.lucene.search.Scorer,9,1,10,3,11,34,12,7,0.0
apache.lucene.search.Explanation,11,1,0,0,19,41,18,10,2.0
apache.lucene.search.Sort,14,1,0,1,22,61,10,13,0.0
apache.lucene.search.ParallelMultiSearcher,6,0,0,16,33,3,0,6,0.0
apache.lucene.search.PrefixQuery,6,0,0,8,28,0,0,6,0.0
apache.lucene.search.NonMatchingScorer,6,0,0,3,10,15,1,6,0.0
apache.lucene.search.Filter,2,1,3,1,3,1,15,2,0.0
apache.lucene.search.Similarity,16,1,2,4,25,108,19,15,3.0
apache.lucene.search.QueryTermVector,10,1,0,4,37,0,0,9,0.0
apache.lucene.search.DisjunctionMaxQuery,14,0,0,6,38,0,0,11,1.0
apache.lucene.search.SortComparatorSource,1,1,0,2,1,0,3,1,0.0
apache.lucene.search.CachingWrapperFilter,5,0,0,2,16,0,0,5,3.0
apache.lucene.search.ReqOptSumScorer,6,0,0,3,15,0,1,6,0.0
apache.lucene.search.WildcardTermEnum,6,0,0,4,20,5,1,5,0.0
apache.lucene.search.TopFieldDocs,1,0,0,3,2,0,10,0,0.0
apache.lucene.search.IndexSearcher,14,0,0,17,32,1,2,13,2.0
apache.lucene.search.MultiSearcherThread,6,2,0,11,12,1,1,6,0.0
apache.lucene.search.Hit,8,1,0,2,19,2,1,6,1.0
apache.lucene.search.Weight,6,1,0,4,6,15,22,6,0.0
apache.lucene.search.RemoteSearchable,12,4,0,12,29,0,0,12,2.0
apache.lucene.search.HitDoc,1,1,0,1,2,0,1,0,0.0
apache.lucene.search.PhrasePositions,5,1,0,1,12,0,4,0,1.0
apache.lucene.search.FilteredQuery,9,0,0,8,25,0,0,8,4.0
apache.lucene.search.HitIterator,5,1,0,2,10,0,1,4,0.0
apache.lucene.search.TopDocCollector,5,0,1,5,13,0,2,4,0.0
apache.lucene.search.FieldCacheImpl,14,1,0,12,51,67,1,8,2.0
apache.lucene.search.TermQuery,8,0,0,6,22,0,7,6,1.0
apache.lucene.search.BooleanQuery,22,0,0,12,60,79,7,19,4.0
apache.lucene.search.ConstantScoreRangeQuery,10,0,0,5,24,0,0,10,0.0
apache.lucene.search.MultiSearcher,15,0,1,18,50,0,1,13,3.0
apache.lucene.search.spans.SpanTermQuery,10,0,0,6,27,0,0,9,1.0
apache.lucene.search.spans.SpanScorer,7,0,0,5,25,0,1,5,2.0
apache.lucene.search.spans.SpanNotQuery,13,0,0,6,31,0,0,11,0.0
apache.lucene.search.spans.SpanQuery,5,0,5,6,7,10,7,4,0.0
apache.lucene.search.spans.SpanNearQuery,12,0,0,7,46,0,1,12,1.0
apache.lucene.search.spans.SpanFirstQuery,13,0,0,6,30,0,0,11,0.0
apache.lucene.search.spans.NearSpans,22,1,0,6,52,95,1,7,1.0
apache.lucene.search.spans.SpanOrQuery,11,0,0,6,42,0,1,10,1.0
apache.lucene.search.spans.Spans,5,1,0,0,5,10,9,5,0.0
apache.lucene.search.spans.SpanWeight,7,1,0,11,37,0,1,7,2.0
apache.lucene.store.MMapDirectory,2,0,0,5,10,1,0,2,0.0
apache.lucene.store.IndexInput,14,1,1,0,17,89,5,14,0.0
apache.lucene.store.FSIndexOutput,6,0,0,1,14,0,1,5,0.0
apache.lucene.store.RAMDirectory,16,0,0,9,41,10,0,15,12.0
apache.lucene.store.BufferedIndexOutput,9,0,2,1,11,8,2,8,2.0
apache.lucene.store.RAMOutputStream,8,0,0,3,21,4,1,7,4.0
apache.lucene.store.BufferedIndexInput,9,0,2,1,14,0,2,6,3.0
apache.lucene.store.Lock,6,1,0,0,14,13,3,5,2.0
apache.lucene.store.RAMFile,1,1,0,0,4,0,3,0,1.0
apache.lucene.store.Directory,12,1,2,3,13,66,2,12,6.0
apache.lucene.store.RAMInputStream,5,0,0,2,8,2,1,5,2.0
apache.lucene.store.FSIndexInput,8,0,0,2,19,12,1,4,0.0
apache.lucene.store.FSDirectory,26,0,1,8,80,53,2,18,14.0
apache.lucene.store.IndexOutput,14,1,1,0,17,91,5,14,1.0
apache.lucene.util.Constants,2,1,0,0,5,1,0,0,0.0
apache.lucene.util.SmallFloat,7,1,0,0,10,21,0,7,0.0
apache.lucene.util.StringHelper,2,1,0,0,5,1,0,1,0.0
apache.lucene.util.Parameter,6,1,0,0,18,5,0,1,0.0
apache.lucene.util.ToStringUtils,2,1,0,0,7,1,0,2,0.0
apache.lucene.util.PriorityQueue,12,1,0,0,13,0,0,8,0.0
apache.lucene.util.BitVector,9,1,0,3,18,0,0,8,2.0
