filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.lucene.LucenePackage,3,1,0,0,8,1,0
apache.lucene.analysis.PerFieldAnalyzerWrapper,5,2,0,2,15,5,0
apache.lucene.analysis.Tokenizer,3,2,3,4,5,1,3
apache.lucene.analysis.KeywordTokenizer,3,3,0,3,10,3,3
apache.lucene.analysis.StopAnalyzer,7,2,0,6,13,6,0
apache.lucene.analysis.Token,13,1,0,15,22,13,8
apache.lucene.analysis.PorterStemmer,27,1,0,1,43,13,1
apache.lucene.analysis.WhitespaceTokenizer,2,4,0,2,4,1,0
apache.lucene.analysis.CharTokenizer,4,3,2,4,8,2,2
apache.lucene.analysis.ISOLatin1AccentFilter,3,3,0,3,13,3,3
apache.lucene.analysis.LowerCaseFilter,2,3,0,4,5,2,1
apache.lucene.analysis.StopFilter,7,3,0,5,13,7,4
apache.lucene.analysis.TokenStream,4,1,2,24,5,4,4
apache.lucene.analysis.LetterTokenizer,2,4,1,2,4,1,0
apache.lucene.analysis.LowerCaseTokenizer,2,5,0,3,4,1,0
apache.lucene.analysis.Analyzer,3,1,6,13,4,3,1
apache.lucene.analysis.SimpleAnalyzer,2,2,0,4,4,2,0
apache.lucene.analysis.WhitespaceAnalyzer,2,2,0,3,4,2,0
apache.lucene.analysis.KeywordAnalyzer,2,2,0,3,4,2,1
apache.lucene.analysis.WordlistLoader,4,1,0,2,17,4,0
apache.lucene.analysis.LengthFilter,2,3,0,3,6,2,1
apache.lucene.analysis.TokenFilter,2,2,7,8,4,1,2
apache.lucene.analysis.PorterStemFilter,2,3,0,4,6,2,1
apache.lucene.document.DateField,8,1,0,1,25,6,0
apache.lucene.document.DateTools,8,1,0,2,27,6,1
apache.lucene.document.NumberTools,4,1,0,0,18,3,0
apache.lucene.document.Document,17,1,0,24,39,17,5
apache.lucene.document.Field,11,2,0,8,21,11,2
apache.lucene.index.MultiReader,28,2,0,17,61,17,4
apache.lucene.index.ParallelReader,27,2,0,16,84,21,5
apache.lucene.index.TermEnum,6,1,5,33,8,6,0
apache.lucene.index.MultipleTermPositions,13,1,0,8,36,13,1
apache.lucene.index.Term,12,1,0,71,21,9,1
apache.lucene.index.TermInfosReader,17,1,0,9,35,4,4
apache.lucene.index.FieldInfos,20,1,0,18,51,16,2
apache.lucene.index.SegmentInfo,18,1,0,12,44,4,3
apache.lucene.index.TermVectorsReader,10,1,0,9,37,0,11
apache.lucene.index.IndexModifier,26,1,0,10,55,22,5
apache.lucene.index.TermVectorOffsetInfo,9,1,0,7,10,8,0
apache.lucene.index.CompoundFileReader,16,2,0,9,40,16,2
apache.lucene.index.SegmentMergeInfo,5,1,0,7,14,0,0
apache.lucene.index.DocumentWriter,11,1,0,20,102,0,0
apache.lucene.index.SegmentMergeQueue,3,2,0,5,9,0,0
apache.lucene.index.Posting,1,1,0,4,2,0,3
apache.lucene.index.MultiTermDocs,11,1,1,6,21,9,0
apache.lucene.index.SegmentTermEnum,13,2,0,10,38,4,3
apache.lucene.index.FieldInfo,1,1,0,8,2,0,1
apache.lucene.index.MultiTermEnum,5,2,0,6,20,5,0
apache.lucene.index.SegmentTermVector,8,1,1,3,15,7,1
apache.lucene.index.IndexFileNameFilter,5,1,0,3,14,4,1
apache.lucene.index.FilterIndexReader,24,2,0,11,50,19,2
apache.lucene.index.TermBuffer,11,1,0,4,25,6,0
apache.lucene.index.CompoundFileWriter,6,1,0,6,39,5,3
apache.lucene.index.SegmentTermPositionVector,4,2,0,4,5,3,0
apache.lucene.index.SegmentTermDocs,12,1,1,13,33,8,0
apache.lucene.index.SegmentInfos,30,4,0,16,75,23,8
apache.lucene.index.FieldsReader,18,1,0,17,61,0,11
apache.lucene.index.IndexWriter,80,1,0,23,171,52,47
apache.lucene.index.TermVectorsWriter,15,1,0,13,54,10,3
apache.lucene.index.IndexReader,62,1,4,118,125,46,11
apache.lucene.index.FieldsWriter,4,1,0,8,39,0,7
apache.lucene.index.TermInfosWriter,6,1,0,9,29,0,3
apache.lucene.index.TermInfo,5,1,0,8,6,0,0
apache.lucene.index.SegmentReader,45,2,0,31,137,20,11
apache.lucene.index.SegmentTermPositions,15,2,0,6,27,7,1
apache.lucene.index.MultiTermPositions,6,2,0,5,12,5,0
apache.lucene.index.SegmentMerger,16,1,0,25,99,0,8
apache.lucene.index.IndexFileNames,3,1,0,5,8,0,3
apache.lucene.queryParser.MultiFieldQueryParser,11,2,0,9,31,5,2
apache.lucene.queryParser.TokenMgrError,6,3,0,2,19,4,3
apache.lucene.queryParser.ParseException,5,3,0,3,18,4,3
apache.lucene.queryParser.FastCharStream,14,1,0,2,25,13,0
apache.lucene.queryParser.QueryParser,64,1,1,34,151,40,7
apache.lucene.queryParser.QueryParserTokenManager,36,1,0,5,52,7,4
apache.lucene.queryParser.Token,3,1,0,4,4,3,1
apache.lucene.search.Query,13,1,15,51,39,12,0
apache.lucene.search.ScoreDoc,1,1,1,19,2,1,0
apache.lucene.search.BooleanScorer,12,2,0,8,29,7,0
apache.lucene.search.PhraseQuery,15,2,0,9,43,11,1
apache.lucene.search.SortComparator,3,1,0,7,7,2,0
apache.lucene.search.FieldDoc,2,2,0,4,3,2,1
apache.lucene.search.HitCollector,2,1,6,22,3,2,0
apache.lucene.search.QueryFilter,3,3,0,4,7,3,0
apache.lucene.search.Hits,11,1,0,13,28,5,2
apache.lucene.search.SortField,15,1,0,9,22,14,3
apache.lucene.search.FuzzyQuery,10,3,0,13,42,9,1
apache.lucene.search.MatchAllDocsQuery,6,2,0,7,14,5,1
apache.lucene.search.SimilarityDelegator,7,2,1,2,14,7,1
apache.lucene.search.WildcardQuery,4,3,0,8,12,3,0
apache.lucene.search.ConjunctionScorer,10,2,1,6,21,6,1
apache.lucene.search.RangeFilter,7,2,0,6,30,7,3
apache.lucene.search.RangeQuery,9,2,0,9,32,9,2
apache.lucene.search.DisjunctionMaxScorer,11,2,0,4,25,7,1
apache.lucene.search.ConstantScoreQuery,8,2,0,8,19,7,1
apache.lucene.search.MultiPhraseQuery,17,2,0,12,55,13,2
apache.lucene.search.ExactPhraseScorer,2,3,0,8,9,0,0
apache.lucene.search.FieldSortedHitQueue,14,2,0,17,47,4,5
apache.lucene.search.Searcher,23,1,3,40,28,22,4
apache.lucene.search.TopDocs,3,1,1,14,4,2,1
apache.lucene.search.FieldDocSortedHitQueue,5,2,0,6,21,0,2
apache.lucene.search.BooleanClause,10,1,0,6,18,10,0
apache.lucene.search.FuzzyTermEnum,14,3,0,5,29,6,0
apache.lucene.search.SloppyPhraseScorer,4,3,0,9,19,0,1
apache.lucene.search.PhraseQueue,2,2,0,5,4,0,0
apache.lucene.search.TopFieldDocCollector,3,3,0,11,13,3,2
apache.lucene.search.HitQueue,2,2,0,6,4,0,0
apache.lucene.search.ReqExclScorer,7,2,0,4,16,6,0
apache.lucene.search.FilteredTermEnum,9,2,2,7,14,6,0
apache.lucene.search.MultiTermQuery,7,2,2,10,27,6,0
apache.lucene.search.BooleanScorer2,21,2,0,16,58,10,1
apache.lucene.search.TermScorer,9,2,0,10,31,7,0
apache.lucene.search.DisjunctionSumScorer,12,2,1,7,37,9,0
apache.lucene.search.DefaultSimilarity,7,2,0,3,10,7,0
apache.lucene.search.PhraseScorer,13,2,2,9,34,6,0
apache.lucene.search.Scorer,9,1,17,38,11,7,1
apache.lucene.search.Explanation,13,1,1,41,21,11,0
apache.lucene.search.Sort,14,1,0,12,22,13,2
apache.lucene.search.ParallelMultiSearcher,6,3,0,16,33,6,1
apache.lucene.search.PrefixQuery,6,2,0,9,28,6,0
apache.lucene.search.NonMatchingScorer,6,2,0,4,10,6,0
apache.lucene.search.Filter,2,1,5,25,3,2,1
apache.lucene.search.Similarity,17,1,2,49,26,16,3
apache.lucene.search.QueryTermVector,10,1,0,4,37,9,1
apache.lucene.search.DisjunctionMaxQuery,14,2,0,6,38,11,2
apache.lucene.search.CachingWrapperFilter,5,2,1,3,16,5,1
apache.lucene.search.ReqOptSumScorer,6,2,0,4,15,6,0
apache.lucene.search.WildcardTermEnum,6,3,0,5,20,5,0
apache.lucene.search.TopFieldDocs,1,2,0,14,2,0,1
apache.lucene.search.IndexSearcher,15,2,0,21,34,14,2
apache.lucene.search.MultiSearcherThread,6,2,0,12,12,6,0
apache.lucene.search.Hit,8,1,0,4,19,6,2
apache.lucene.search.RemoteSearchable,13,4,0,14,31,13,0
apache.lucene.search.HitDoc,1,1,0,2,2,0,0
apache.lucene.search.PhrasePositions,5,1,0,6,12,0,0
apache.lucene.search.FilteredQuery,9,2,0,9,26,8,2
apache.lucene.search.HitIterator,5,1,0,2,10,4,2
apache.lucene.search.TopDocCollector,5,2,1,7,13,4,2
apache.lucene.search.FieldCacheImpl,14,1,0,22,29,12,4
apache.lucene.search.TermQuery,8,2,0,15,22,6,1
apache.lucene.search.BooleanQuery,27,2,0,19,64,22,3
apache.lucene.search.ConstantScoreRangeQuery,10,2,0,6,24,10,1
apache.lucene.search.MultiSearcher,16,2,1,22,53,14,0
apache.lucene.search.spans.SpanTermQuery,9,3,1,8,27,9,0
apache.lucene.search.spans.SpanScorer,7,2,1,7,25,5,1
apache.lucene.search.spans.SpanNotQuery,13,3,0,6,31,11,0
apache.lucene.search.spans.SpanQuery,5,2,5,17,7,4,0
apache.lucene.search.spans.SpanNearQuery,12,3,0,8,47,12,0
apache.lucene.search.spans.SpanFirstQuery,13,3,0,6,30,11,0
apache.lucene.search.spans.SpanOrQuery,11,3,0,8,42,10,0
apache.lucene.search.spans.SpanWeight,7,1,1,13,46,7,0
apache.lucene.store.MMapDirectory,2,3,0,5,10,2,1
apache.lucene.store.RAMDirectory,17,2,0,11,42,15,2
apache.lucene.store.BufferedIndexOutput,10,2,1,2,12,8,0
apache.lucene.store.BufferedIndexInput,15,2,2,4,30,9,3
apache.lucene.store.Lock,6,1,4,15,17,5,2
apache.lucene.store.RAMFile,8,1,0,3,12,0,2
apache.lucene.store.Directory,18,1,3,36,33,18,4
apache.lucene.store.RAMInputStream,8,2,0,3,13,7,3
apache.lucene.store.FSDirectory,28,2,1,16,89,23,11
apache.lucene.store.IndexOutput,15,1,2,19,18,15,2
apache.lucene.store.IndexInput,15,1,5,31,18,15,1
apache.lucene.store.RAMOutputStream,13,2,0,4,25,10,4
apache.lucene.util.SmallFloat,7,1,0,1,10,7,1
apache.lucene.util.Parameter,6,1,5,5,18,1,0
apache.lucene.util.PriorityQueue,12,1,9,12,13,8,1
apache.lucene.util.BitVector,14,1,0,5,28,8,0
apache.lucene.util.Constants,2,1,0,0,5,0,0
apache.lucene.util.StringHelper,2,1,0,2,5,1,0
apache.lucene.util.ToStringUtils,2,1,0,17,7,2,0
